code,name,总市值,流通市值,行业,总股本,流通股
000059,华锦股份,6829619632.99,6829619632.99,石油行业,1599442537.0,1599442537.0
000060,中金岭南,15959512088.309998,15958335169.559998,有色金属,3737590653.0,3737315028.0
000061,农 产 品,8433911731.07,8433754554.82,贸易行业,1696964131.0,1696932506.0
000062,深圳华强,9360888431.9,9348700348.75,电子元件,1045909322.0,1044547525.0
000063,中兴通讯,131156757555.84001,110420909650.5,通信设备,4783251552.0,4027020775.0
000065,北方国际,10493769192.93,9484214247.51,工程建设,1002270219.0,905846633.0
000066,中国长城,28354773983.519997,27660312904.829998,计算机设备,3225799088.0,3146793277.0
000068,华控赛格,2828746813.84,2828746813.84,环保行业,1006671464.0,1006671464.0
000069,华侨城Ａ,17120424652.89,14687650367.13,房地产开发,8037758053.0,6895610501.0
000070,ST特信,3763441096.7999997,3714258656.68,通信设备,900344760.0,888578626.0
000078,海王生物,5941799835.120001,5672319058.08,医药商业,2750833257.0,2626073638.0
000088,盐 田 港,19671474771.09,10323531821.07,航运港口,4285724351.0,2249135473.0
000089,深圳机场,13247971028.14,13247795923.38,航空机场,2050769509.0,2050742403.0
000090,天健集团,7604979916.38,7604631931.38,房地产开发,1868545434.0,1868459934.0
000096,广聚能源,5016000000.0,4853056000.0,石油行业,528000000.0,510848000.0
000099,中信海直,12699357142.69,11626221776.320002,航空机场,775770137.0,710215136.0
000100,TCL科技,80562256490.43001,77653923023.82,光学光电子,18779080767.0,18101147558.0
000151,中成股份,3468171083.8399997,3165568664.6,贸易行业,337370728.0,307934695.0
000153,丰原药业,2556601971.0,2457476021.0,化学制药,464836722.0,446813822.0
000155,川能动力,18077115533.7,14395937374.5,电力行业,1628568967.0,1296931295.0
000156,华数传媒,11821708979.96,10364949882.1,文化传媒,1852932442.0,1624600295.0
000157,中联重科,67688339440.799995,55149978491.4,工程机械,8677992236.0,7070510063.0
000158,常山北明,10662773529.07,10567170011.2,综合行业,1598616721.0,1584283360.0
000159,国际实业,2523601463.25,2523601463.25,石油行业,480685993.0,480685993.0
000166,申万宏源,110426155509.6,99381587263.56,证券,25039944560.0,22535507316.0
000301,东方盛虹,53683061333.99999,44635733802.24,化学原料,6611214450.0,5497011552.0
000333,美的集团,448472438736.5,439970102982.0,家电行业,6980115778.0,6847783704.0
000338,潍柴动力,140672095954.52002,80142710838.32,汽车零部件,8726556821.0,4971632186.0
000400,许继电气,33036281797.780003,32689801152.780003,电网设备,1019009309.0,1008322059.0
000401,冀东水泥,11164502088.6,6498657828.6,水泥建材,2658214783.0,1547299483.0
000402,金 融 街,7292988973.08,7289984657.2,房地产开发,2988929907.0,2987698630.0
000403,派林生物,19770177558.27,18554450382.809998,生物制品,733043291.0,687966273.0
000404,长虹华意,3786218125.76,3773404167.6800003,家电行业,695995979.0,693640472.0
000407,胜利股份,2323423491.84,2312025967.6800003,燃气,880084656.0,875767412.0
000408,藏格矿业,38878702795.8,38878296895.8,化肥行业,1580435073.0,1580418573.0
000409,云鼎科技,5573128161.2,3488585238.8,互联网服务,676350505.0,423371995.0
000410,沈阳机床,12863371336.69,10472106331.12,通用设备,2064746603.0,1680915944.0
000411,英特集团,5096144179.2,3128476314.56,医药商业,522145920.0,320540606.0
000413,东旭光电,8054832425.639999,7191970723.08,光学光电子,5632749948.0,5029350156.0
000415,渤海租赁,15275767566.54,13320065663.45,多元金融,6184521282.0,5392739135.0
000417,合肥百货,3275513640.0,3271915294.2000003,商业百货,779884200.0,779027451.0
000419,通程控股,2244996365.15,2244996365.15,商业百货,543582655.0,543582655.0
000420,吉林化纤,7966733431.320001,7963986883.320001,化纤行业,2458868343.0,2458020643.0
000421,南京公用,2624151480.36,2607447912.36,燃气,578006934.0,574327734.0
000422,湖北宜化,13106968561.68,12480597426.99,化学原料,1057866712.0,1007312141.0
000423,东阿阿胶,41285354186.64,41285354186.64,中药,643976824.0,643976824.0
000425,徐工机械,88148599053.78,60575868199.659996,工程机械,11816166093.0,8120089571.0
000426,兴业银锡,25481856077.53,20498263035.94,有色金属,1837192219.0,1477884862.0
000428,华天酒店,2852992800.0,2852887800.0,旅游酒店,1018926000.0,1018888500.0
000429,粤高速Ａ,21430762791.5,13359131536.5,铁路公路,2090806126.0,1303329906.0
000430,张家界,2384376170.54,1953941532.0,旅游酒店,404817686.0,331738800.0
000488,晨鸣纸业,10407982464.0,5933115221.44,造纸印刷,2956813200.0,1685544097.0
000498,山东路桥,8226449146.61,7683142475.459999,工程建设,1560996043.0,1457901798.0
000501,武商集团,5229150570.8,5222396559.2,商业百货,768992731.0,767999494.0
000503,国新健康,6810498861.12,6609079002.4,软件开发,984176136.0,955069220.0
000504,南华生物,2386066998.54,2246123863.23,医疗服务,330023098.0,310667201.0
000505,京粮控股,4005495883.0099998,3477390401.3599997,农牧饲渔,726950251.0,631105336.0
000506,*ST中润,1003339181.8800001,1002964637.8800001,贵金属,929017761.0,928670961.0
000507,珠海港,4074425584.85,3997356245.79,航运港口,919734895.0,902337753.0
000509,华塑控股,2800864215.72,2800855748.8799996,光学光电子,1073128052.0,1073124808.0
000510,新金路,1748353068.98,1628473105.8400002,化学原料,609182254.0,567412232.0
000513,丽珠集团,35187892718.96,22697267615.08,化学制药,928930642.0,599188691.0
000514,渝 开 发,2716942507.3,2716942507.3,房地产开发,843770965.0,843770965.0
000516,国际医学,10829277591.22,10601334582.29,医疗服务,2260809518.0,2213222251.0
000517,荣安地产,8564751484.65,6703443459.04,房地产开发,3183922485.0,2491986416.0
000518,四环生物,2038521319.56,2038480672.1399999,生物制品,1029556222.0,1029535693.0
000519,中兵红箭,19830039903.68,19830039903.68,专用设备,1392558982.0,1392558982.0
